"fecha_inicio_sintomas","Departamento","frecuencia","media_movil_7d"
2020-03-15,"Risaralda",4,2.42857142857143
2020-03-15,"Santander",1,2.42857142857143
2020-03-15,"Tolima",2,2.42857142857143
2020-03-15,"Valle del Cauca",20,5
2020-03-16,"Antioquia",18,7.28571428571429
2020-03-16,"Atlántico",6,7.42857142857143
2020-03-16,"Bogotá, D.C.",62,16.1428571428571
2020-03-16,"Bolívar",8,16.7142857142857
2020-03-16,"Caldas",3,17
2020-03-16,"Cesar",2,17
2020-03-16,"Cundinamarca",9,15.4285714285714
2020-03-16,"Huila",1,13
2020-03-16,"Magdalena",1,12.2857142857143
2020-03-16,"Nariño",2,3.71428571428571
2020-03-16,"Norte de Santander",2,2.85714285714286
2020-03-16,"Quindio",2,2.71428571428571
2020-03-16,"Risaralda",2,2.71428571428571
2020-03-16,"Tolima",1,1.57142857142857
2020-03-16,"Valle del Cauca",19,4.14285714285714
2020-03-17,"Antioquia",13,5.85714285714286
2020-03-17,"Atlántico",7,6.57142857142857
2020-03-17,"Bogotá, D.C.",60,14.8571428571429
2020-03-17,"Bolívar",6,15.4285714285714
2020-03-17,"Caldas",1,15.2857142857143
2020-03-17,"Casanare",1,15.2857142857143
2020-03-17,"Cauca",1,12.7142857142857
2020-03-17,"Cundinamarca",3,11.2857142857143
2020-03-17,"Magdalena",1,10.4285714285714
2020-03-17,"Meta",2,2.14285714285714
2020-03-17,"Quindio",1,1.42857142857143
2020-03-17,"Risaralda",2,1.57142857142857
2020-03-17,"Santander",3,1.85714285714286
2020-03-17,"Tolima",2,2
2020-03-17,"Valle del Cauca",20,4.42857142857143
2020-03-18,"Antioquia",18,6.85714285714286
2020-03-18,"Atlántico",5,7.28571428571429
2020-03-18,"Bogotá, D.C.",53,14.7142857142857
2020-03-18,"Bolívar",7,15.4285714285714
2020-03-18,"Boyacá",2,15.2857142857143
2020-03-18,"Casanare",1,15.1428571428571
2020-03-18,"Cauca",2,12.5714285714286
2020-03-18,"Cesar",1,10.1428571428571
