"Date","departamento_limp","cepa","valor_rep","valor_est","Departamento","codigo_dp"
2020-07-26,"bogota_d_c","Omicron",0,2.5269264050437e-20,"Bogotá, D.C.","11"
2020-07-26,"bogota_d_c","Otros",1,0.997122980071142,"Bogotá, D.C.","11"
2020-08-02,"bogota_d_c","Alpha",0,1.34728104017526e-05,"Bogotá, D.C.","11"
2020-08-02,"bogota_d_c","Delta",0,2.92136974515328e-13,"Bogotá, D.C.","11"
2020-08-02,"bogota_d_c","Gamma",0,0.00333203501835196,"Bogotá, D.C.","11"
2020-08-02,"bogota_d_c","Mu",0,7.30151949700647e-09,"Bogotá, D.C.","11"
2020-08-02,"bogota_d_c","Omicron",0,4.54946920928604e-20,"Bogotá, D.C.","11"
2020-08-02,"bogota_d_c","Otros",1,0.996654484869435,"Bogotá, D.C.","11"
2020-08-09,"bogota_d_c","Alpha",0,2.02572502072472e-05,"Bogotá, D.C.","11"
2020-08-09,"bogota_d_c","Delta",0,4.87966534779831e-13,"Bogotá, D.C.","11"
2020-08-09,"bogota_d_c","Gamma",0,0.00386983697455578,"Bogotá, D.C.","11"
2020-08-09,"bogota_d_c","Mu",0,1.2827171322727e-08,"Bogotá, D.C.","11"
2020-08-09,"bogota_d_c","Omicron",0,8.19026467082216e-20,"Bogotá, D.C.","11"
2020-08-09,"bogota_d_c","Otros",1,0.996109892947578,"Bogotá, D.C.","11"
2020-08-16,"bogota_d_c","Alpha",0,3.04494275610149e-05,"Bogotá, D.C.","11"
2020-08-16,"bogota_d_c","Delta",0,8.14847161360259e-13,"Bogotá, D.C.","11"
2020-08-16,"bogota_d_c","Gamma",0,0.00449279898150777,"Bogotá, D.C.","11"
2020-08-16,"bogota_d_c","Mu",0,2.25326830469934e-08,"Bogotá, D.C.","11"
2020-08-16,"bogota_d_c","Omicron",0,1.47434629767005e-19,"Bogotá, D.C.","11"
2020-08-16,"bogota_d_c","Otros",1,0.995476729057433,"Bogotá, D.C.","11"
2020-08-30,"bogota_d_c","Alpha",0,6.87216904845025e-05,"Bogotá, D.C.","11"
2020-08-30,"bogota_d_c","Delta",0,2.27132554493802e-12,"Bogotá, D.C.","11"
2020-08-30,"bogota_d_c","Gamma",0,0.00604774696907653,"Bogotá, D.C.","11"
2020-08-30,"bogota_d_c","Mu",0,6.95100369620429e-08,"Bogotá, D.C.","11"
2020-08-30,"bogota_d_c","Omicron",0,4.77609802190516e-19,"Bogotá, D.C.","11"
2020-08-30,"bogota_d_c","Otros",1,0.993883461828131,"Bogotá, D.C.","11"
2020-09-06,"bogota_d_c","Alpha",0,0.00010316632612849,"Bogotá, D.C.","11"
2020-09-06,"bogota_d_c","Delta",0,3.79126227946331e-12,"Bogotá, D.C.","11"
2020-09-06,"bogota_d_c","Gamma",0,0.00701115067885038,"Bogotá, D.C.","11"
2020-09-06,"bogota_d_c","Mu",0,1.22063729540372e-07,"Bogotá, D.C.","11"
2020-09-06,"bogota_d_c","Omicron",0,8.59472370661083e-19,"Bogotá, D.C.","11"
2020-09-06,"bogota_d_c","Otros",1,0.9928855609275,"Bogotá, D.C.","11"
2020-09-27,"bogota_d_c","Alpha",0,0.00034753004082264,"Bogotá, D.C.","11"
2020-09-27,"bogota_d_c","Delta",0,1.76172738736154e-11,"Bogotá, D.C.","11"
2020-09-27,"bogota_d_c","Gamma",0,0.0108785915094141,"Bogotá, D.C.","11"
2020-09-27,"bogota_d_c","Mu",0,6.60365888337655e-07,"Bogotá, D.C.","11"
2020-09-27,"bogota_d_c","Omicron",0,5.00367161850773e-18,"Bogotá, D.C.","11"
2020-09-27,"bogota_d_c","Otros",1,0.988773218066258,"Bogotá, D.C.","11"
2020-10-04,"bogota_d_c","Alpha",0,0.00051991671203201,"Bogotá, D.C.","11"
2020-10-04,"bogota_d_c","Delta",0,2.93859040143355e-11,"Bogotá, D.C.","11"
2020-10-04,"bogota_d_c","Gamma",0,0.0125722298270248,"Bogotá, D.C.","11"
2020-10-04,"bogota_d_c","Mu",0,1.15878867295765e-06,"Bogotá, D.C.","11"
2020-10-04,"bogota_d_c","Omicron",0,8.99763100552132e-18,"Bogotá, D.C.","11"
2020-10-04,"bogota_d_c","Otros",1,0.986906694642884,"Bogotá, D.C.","11"
2020-11-01,"bogota_d_c","Alpha",0,0.00255832739663703,"Bogotá, D.C.","11"
2020-11-01,"bogota_d_c","Delta",0,2.26739525549921e-10,"Bogotá, D.C.","11"
2020-11-01,"bogota_d_c","Gamma",0,0.0221441939888717,"Bogotá, D.C.","11"
2020-11-01,"bogota_d_c","Mu",0,1.09512179413135e-05,"Bogotá, D.C.","11"
2020-11-01,"bogota_d_c","Omicron",0,9.37710782107173e-17,"Bogotá, D.C.","11"
2020-11-01,"bogota_d_c","Otros",1,0.97528652716981,"Bogotá, D.C.","11"
2020-11-08,"bogota_d_c","Alpha",0,0.00378423522387351,"Bogotá, D.C.","11"
2020-11-08,"bogota_d_c","Delta",0,3.77443793317261e-10,"Bogotá, D.C.","11"
2020-11-08,"bogota_d_c","Gamma",0,0.025402447428875,"Bogotá, D.C.","11"
2020-11-08,"bogota_d_c","Mu",0,1.91779674364707e-05,"Bogotá, D.C.","11"
2020-11-08,"bogota_d_c","Omicron",0,1.68279920690637e-16,"Bogotá, D.C.","11"
2020-11-08,"bogota_d_c","Otros",1,0.970794139002371,"Bogotá, D.C.","11"
2020-11-29,"bogota_d_c","Alpha",0,0.0118860511620435,"Bogotá, D.C.","11"
2020-11-29,"bogota_d_c","Delta",0,1.73205379559271e-09,"Bogotá, D.C.","11"
2020-11-29,"bogota_d_c","Gamma",0,0.0377587149609136,"Bogotá, D.C.","11"
2020-11-29,"bogota_d_c","Mu",0,0.00010245419559453,"Bogotá, D.C.","11"
2020-11-29,"bogota_d_c","Omicron",0,9.67511170263559e-16,"Bogotá, D.C.","11"
2020-11-29,"bogota_d_c","Otros",1,0.950252777949394,"Bogotá, D.C.","11"
2020-12-06,"bogota_d_c","Alpha",0,0.0171513542442242,"Bogotá, D.C.","11"
2020-12-06,"bogota_d_c","Delta",0,2.87075019890358e-09,"Bogotá, D.C.","11"
2020-12-06,"bogota_d_c","Gamma",0,0.0428001637867135,"Bogotá, D.C.","11"
2020-12-06,"bogota_d_c","Mu",0,0.0001786270812173,"Bogotá, D.C.","11"
2020-12-06,"bogota_d_c","Omicron",0,1.72873434128912e-15,"Bogotá, D.C.","11"
2020-12-06,"bogota_d_c","Otros",1,0.939869852017093,"Bogotá, D.C.","11"
2020-12-13,"bogota_d_c","Alpha",0,0.0244811902497317,"Bogotá, D.C.","11"
2020-12-13,"bogota_d_c","Delta",0,4.74892332576182e-09,"Bogotá, D.C.","11"
2020-12-13,"bogota_d_c","Gamma",0,0.0482984873481206,"Bogotá, D.C.","11"
2020-12-13,"bogota_d_c","Mu",0,0.00031081641224612,"Bogotá, D.C.","11"
2020-12-13,"bogota_d_c","Omicron",0,3.08294841631363e-15,"Bogotá, D.C.","11"
2020-12-13,"bogota_d_c","Otros",1,0.926909501240975,"Bogotá, D.C.","11"
2020-12-20,"bogota_d_c","Alpha",0,0.0344629779084762,"Bogotá, D.C.","11"
2020-12-20,"bogota_d_c","Delta",0,7.8372584395665e-09,"Bogotá, D.C.","11"
2020-12-20,"bogota_d_c","Gamma",0,0.0542185125572716,"Bogotá, D.C.","11"
2020-12-20,"bogota_d_c","Mu",0,0.00053948953479971,"Bogotá, D.C.","11"
2020-12-20,"bogota_d_c","Omicron",0,5.48496054925628e-15,"Bogotá, D.C.","11"
2020-12-20,"bogota_d_c","Otros",1,0.910779012162189,"Bogotá, D.C.","11"
2020-12-27,"bogota_d_c","Alpha",0,0.0476715847247221,"Bogotá, D.C.","11"
2020-12-27,"bogota_d_c","Delta",0,1.28978143773923e-08,"Bogotá, D.C.","11"
2020-12-27,"bogota_d_c","Gamma",0,0.0604993230870415,"Bogotá, D.C.","11"
2020-12-27,"bogota_d_c","Mu",0,0.00093360424037448,"Bogotá, D.C.","11"
2020-12-27,"bogota_d_c","Omicron",0,9.73113960372447e-15,"Bogotá, D.C.","11"
2020-12-27,"bogota_d_c","Otros",1,0.890895475050038,"Bogotá, D.C.","11"
2021-01-03,"bogota_d_c","Alpha",0,0.0645101580399896,"Bogotá, D.C.","11"
2021-01-03,"bogota_d_c","Delta",0,2.11610891329868e-08,"Bogotá, D.C.","11"
2021-01-03,"bogota_d_c","Gamma",0,0.0670601924142086,"Bogotá, D.C.","11"
2021-01-03,"bogota_d_c","Mu",0,0.00161015668347303,"Bogotá, D.C.","11"
2021-01-03,"bogota_d_c","Omicron",0,1.72117027667269e-14,"Bogotá, D.C.","11"
2021-01-03,"bogota_d_c","Otros",1,0.866819471701222,"Bogotá, D.C.","11"
2021-01-10,"bogota_d_c","Alpha",0,0.0849676440769144,"Bogotá, D.C.","11"
2021-01-10,"bogota_d_c","Delta",0,3.4617202135893e-08,"Bogotá, D.C.","11"
2021-01-10,"bogota_d_c","Gamma",0,0.073820071328295,"Bogotá, D.C.","11"
2021-01-10,"bogota_d_c","Mu",0,0.00276727372169494,"Bogotá, D.C.","11"
2021-01-10,"bogota_d_c","Omicron",0,3.0354007004657e-14,"Bogotá, D.C.","11"
2021-01-10,"bogota_d_c","Otros",1,0.838444976255863,"Bogotá, D.C.","11"
2021-01-17,"bogota_d_c","Alpha",0.142857142857143,0.108339196162197,"Bogotá, D.C.","11"
2021-01-17,"bogota_d_c","Delta",0,5.65120059978062e-08,"Bogotá, D.C.","11"
2021-01-17,"bogota_d_c","Gamma",0,0.0807329841024777,"Bogotá, D.C.","11"
2021-01-17,"bogota_d_c","Mu",0,0.00474118405177453,"Bogotá, D.C.","11"
2021-01-17,"bogota_d_c","Omicron",0,5.34198961162409e-14,"Bogotá, D.C.","11"
2021-01-17,"bogota_d_c","Otros",0.857142857142857,0.806186579171492,"Bogotá, D.C.","11"
2021-01-24,"bogota_d_c","Alpha",0,0.133033759267662,"Bogotá, D.C.","11"
2021-01-24,"bogota_d_c","Delta",0,9.2222655938246e-08,"Bogotá, D.C.","11"
2021-01-24,"bogota_d_c","Gamma",0.166666666666667,0.0878302821357743,"Bogotá, D.C.","11"
