"grupo_edad","fecha_muerte","muertes"
"80 ó +",2022-11-21,6
"80 ó +",2022-11-28,25
"80 ó +",2022-12-05,52
"80 ó +",2022-12-12,46
"80 ó +",2022-12-19,57
"80 ó +",2022-12-26,55
"80 ó +",2023-01-02,49
"80 ó +",2023-01-09,31
"80 ó +",2023-01-16,35
"80 ó +",2023-01-23,16
"80 ó +",2023-01-30,8
"80 ó +",2023-02-06,6
"80 ó +",2023-02-13,6
"80 ó +",2023-02-20,5
"80 ó +",2023-02-27,3
"80 ó +",2023-03-06,10
"80 ó +",2023-03-13,6
"80 ó +",2023-03-20,7
"80 ó +",2023-03-27,3
"80 ó +",2023-04-03,3
"80 ó +",2023-04-10,8
"80 ó +",2023-04-17,4
"80 ó +",2023-04-24,1
"80 ó +",2023-05-01,5
"80 ó +",2023-05-08,7
"80 ó +",2023-05-15,7
"80 ó +",2023-05-22,9
"80 ó +",2023-05-29,9
"80 ó +",2023-06-05,12
"80 ó +",2023-06-12,8
"80 ó +",2023-06-19,22
"80 ó +",2023-06-26,13
"80 ó +",2023-07-03,13
"80 ó +",2023-07-10,10
"80 ó +",2023-07-17,9
"80 ó +",2023-07-24,7
"80 ó +",2023-07-31,11
"80 ó +",2023-08-07,6
"80 ó +",2023-08-14,5
"80 ó +",2023-08-21,5
"80 ó +",2023-08-28,5
"80 ó +",2023-09-04,5
"80 ó +",2023-09-11,4
"80 ó +",2023-09-18,3
"80 ó +",2023-09-25,4
"80 ó +",2023-10-02,2
"80 ó +",2023-10-30,1
"80 ó +",2023-11-06,3
"80 ó +",2023-11-13,2
"80 ó +",2023-11-20,3
"80 ó +",2023-11-27,2
"80 ó +",2023-12-04,4
"80 ó +",2023-12-11,1
"80 ó +",2023-12-18,1
"80 ó +",2023-12-25,3
"80 ó +",2024-01-01,4
"80 ó +",2024-01-08,2
