"nombre_departamento","grupo_edad","casos"
"atlantico",58,112
"atlantico",59,101
"atlantico",60,126
"atlantico",61,120
"atlantico",62,131
"atlantico",63,146
"atlantico",64,150
"atlantico",65,149
"atlantico",66,134
"atlantico",67,146
"atlantico",68,165
"atlantico",69,175
"atlantico",70,168
"atlantico",71,159
"atlantico",72,167
"atlantico",73,136
"atlantico",74,125
"atlantico",75,138
"atlantico",76,138
"atlantico",77,113
"atlantico",78,137
"atlantico",79,142
"atlantico",80,134
"atlantico",81,161
"atlantico",82,114
"atlantico",83,138
"atlantico",84,1065
"bogota_d_c",0,19
"bogota_d_c",1,6
"bogota_d_c",2,5
"bogota_d_c",3,1
"bogota_d_c",4,3
"bogota_d_c",5,3
"bogota_d_c",6,2
"bogota_d_c",7,4
"bogota_d_c",9,3
"bogota_d_c",10,3
"bogota_d_c",13,4
"bogota_d_c",14,3
"bogota_d_c",15,3
"bogota_d_c",16,3
"bogota_d_c",17,4
"bogota_d_c",18,10
"bogota_d_c",19,9
"bogota_d_c",20,11
"bogota_d_c",21,23
"bogota_d_c",22,21
"bogota_d_c",23,25
"bogota_d_c",24,29
"bogota_d_c",25,28
"bogota_d_c",26,30
"bogota_d_c",27,38
"bogota_d_c",28,40
"bogota_d_c",29,52
"bogota_d_c",30,65
"bogota_d_c",31,57
"bogota_d_c",32,63
"bogota_d_c",33,83
"bogota_d_c",34,95
"bogota_d_c",35,84
"bogota_d_c",36,107
"bogota_d_c",37,127
"bogota_d_c",38,136
"bogota_d_c",39,129
"bogota_d_c",40,142
"bogota_d_c",41,177
"bogota_d_c",42,158
"bogota_d_c",43,190
"bogota_d_c",44,222
"bogota_d_c",45,214
"bogota_d_c",46,221
"bogota_d_c",47,268
"bogota_d_c",48,271
"bogota_d_c",49,302
"bogota_d_c",50,316
"bogota_d_c",51,367
"bogota_d_c",52,353
"bogota_d_c",53,404
"bogota_d_c",54,407
"bogota_d_c",55,484
"bogota_d_c",56,481
"bogota_d_c",57,552
"bogota_d_c",58,555
"bogota_d_c",59,638
"bogota_d_c",60,612
"bogota_d_c",61,624
"bogota_d_c",62,684
"bogota_d_c",63,699
"bogota_d_c",64,735
"bogota_d_c",65,662
"bogota_d_c",66,704
"bogota_d_c",67,695
"bogota_d_c",68,764
"bogota_d_c",69,712
"bogota_d_c",70,707
"bogota_d_c",71,789
"bogota_d_c",72,708
"bogota_d_c",73,734
"bogota_d_c",74,717
"bogota_d_c",75,750
"bogota_d_c",76,707
"bogota_d_c",77,683
"bogota_d_c",78,696
"bogota_d_c",79,726
"bogota_d_c",80,713
"bogota_d_c",81,644
"bogota_d_c",82,678
"bogota_d_c",83,661
"bogota_d_c",84,5395
"bolivar",0,4
"bolivar",3,1
"bolivar",5,1
"bolivar",10,1
"bolivar",17,1
"bolivar",21,1
"bolivar",23,2
"bolivar",24,1
"bolivar",27,3
"bolivar",28,3
"bolivar",30,1
"bolivar",31,3
"bolivar",32,2
"bolivar",33,4
"bolivar",34,1
"bolivar",35,5
"bolivar",36,4
"bolivar",37,2
"bolivar",38,3
"bolivar",39,7
"bolivar",40,4
"bolivar",41,9
"bolivar",42,9
"bolivar",43,10
"bolivar",44,7
"bolivar",45,11
"bolivar",46,12
"bolivar",47,9
"bolivar",48,8
"bolivar",49,8
"bolivar",50,12
"bolivar",51,6
"bolivar",52,6
"bolivar",53,7
"bolivar",54,18
"bolivar",55,8
"bolivar",56,17
"bolivar",57,15
"bolivar",58,12
"bolivar",59,10
"bolivar",60,24
"bolivar",61,17
"bolivar",62,16
"bolivar",63,16
"bolivar",64,16
"bolivar",65,16
"bolivar",66,22
"bolivar",67,15
"bolivar",68,19
"bolivar",69,23
"bolivar",70,23
"bolivar",71,27
"bolivar",72,14
"bolivar",73,20
"bolivar",74,16
"bolivar",75,22
"bolivar",76,22
"bolivar",77,27
"bolivar",78,20
"bolivar",79,27
"bolivar",80,25
"bolivar",81,28
"bolivar",82,27
"bolivar",83,22
"bolivar",84,185
"boyaca",0,3
"boyaca",9,2
"boyaca",12,1
"boyaca",13,1
"boyaca",15,1
"boyaca",20,4
"boyaca",21,1
"boyaca",22,2
"boyaca",23,4
"boyaca",24,2
"boyaca",25,4
"boyaca",26,3
"boyaca",27,7
"boyaca",28,6
"boyaca",29,2
"boyaca",30,2
"boyaca",31,7
"boyaca",32,6
"boyaca",33,8
"boyaca",34,10
"boyaca",35,13
"boyaca",36,6
"boyaca",37,11
"boyaca",38,13
"boyaca",39,14
"boyaca",40,13
"boyaca",41,23
"boyaca",42,21
"boyaca",43,21
"boyaca",44,18
"boyaca",45,27
"boyaca",46,23
"boyaca",47,29
"boyaca",48,32
"boyaca",49,22
"boyaca",50,38
"boyaca",51,38
"boyaca",52,36
"boyaca",53,42
"boyaca",54,35
"boyaca",55,44
"boyaca",56,46
"boyaca",57,50
"boyaca",58,57
"boyaca",59,48
"boyaca",60,58
"boyaca",61,60
"boyaca",62,57
"boyaca",63,69
"boyaca",64,52
"boyaca",65,82
"boyaca",66,52
"boyaca",67,72
"boyaca",68,67
"boyaca",69,54
"boyaca",70,67
"boyaca",71,52
"boyaca",72,59
"boyaca",73,71
"boyaca",74,60
"boyaca",75,67
"boyaca",76,52
"boyaca",77,73
"boyaca",78,78
"boyaca",79,60
"boyaca",80,76
"boyaca",81,71
"boyaca",82,74
"boyaca",83,81
"boyaca",84,552
"caldas",1,1
"caldas",4,1
"caldas",13,1
"caldas",18,1
"caldas",19,2
"caldas",21,1
"caldas",22,2
"caldas",23,3
"caldas",24,3
"caldas",25,2
