Departamentos,SEXO,gredad,6 Mar.2020 - 5 Mar. 2021,6 Mar.2021 - 5 Mar. 2022
 ,Hombres,Menores de 15 años,-0.41653020301007443,-0.34624377975998816
 ,Hombres,De 15 a 44 años,0.39857565144001145,0.8472493702835557
Ama.,Hombres,De 45 a 64 años,2.109731567504889,0.9489000462600033
Ama.,Hombres,De 65 y más años,0.912501305840639,0.5129122082487181
Ama.,Mujeres,Menores de 15 años,-0.08426444538775167,-0.14376045833961906
Ama.,Mujeres,De 15 a 44 años,0.605113364240444,-0.1172253082222693
Ama.,Mujeres,De 45 a 64 años,2.2234133127154223,1.1895156881886955
Ama.,Mujeres,De 65 y más años,1.9677472680762917,0.08522417348268412
 ,Hombres,Menores de 15 años,-0.2190354661317296,-0.05689117895079489
 ,Hombres,De 15 a 44 años,0.4141910212617479,0.8046741067936412
 ,Hombres,De 45 a 64 años,0.3977463956987612,0.844558957333683
 ,Hombres,De 65 y más años,0.22729645747064228,0.34367626243000293
 ,Mujeres,Menores de 15 años,0.0011890887661880369,0.32050316596107825
 ,Mujeres,De 15 a 44 años,-0.24634122217564838,-0.024499395370542364
 ,Mujeres,De 45 a 64 años,0.10195813147361582,0.4754969998213547
 ,Mujeres,De 65 y más años,0.08049289978420779,0.25653314529084587
 ,Hombres,Menores de 15 años,-0.5633377502957636,-0.5278933866533339
 ,Hombres,De 15 a 44 años,0.26709570997767534,1.186010490365554
 ,Hombres,De 45 a 64 años,0.09518845734116142,0.5510053241049113
 ,Hombres,De 65 y más años,-0.007953054131068716,-0.0033789170269841605
Ara.,Mujeres,Menores de 15 años,-0.20060137619021898,-0.49695428083446425
 ,Mujeres,De 15 a 44 años,-0.18436040635589057,-0.07151459390662247
 ,Mujeres,De 45 a 64 años,0.14597306524506642,0.5526829103545311
 ,Mujeres,De 65 y más años,0.14170229846855492,0.2178181375405456
 ,Hombres,Menores de 15 años,-0.4852671030743887,0.07698111696880704
 ,Hombres,De 15 a 44 años,1.8371984793948688,1.913129245464423
 ,Hombres,De 45 a 64 años,0.3407806923781287,0.38032627922539936
 ,Hombres,De 65 y más años,0.2981443029047415,0.40667538935375225
Arc.,Mujeres,Menores de 15 años,1.1874835930100935,-0.3523054443442236
 ,Mujeres,De 15 a 44 años,-0.060335218924588395,0.06497938642074431
 ,Mujeres,De 45 a 64 años,-0.41535262708743115,0.43757896355966214
 ,Mujeres,De 65 y más años,-0.16735585466518538,0.3706009812660182
Atl.,Hombres,Menores de 15 años,0.26223651628455147,0.14159774610108689
 ,Hombres,De 15 a 44 años,0.18257824652788865,0.40942528771968856
 ,Hombres,De 45 a 64 años,0.6564468754357726,0.9432821379293319
 ,Hombres,De 65 y más años,0.38777265990970533,0.44504494903668307
 ,Mujeres,Menores de 15 años,0.645539705194774,0.8850372267566806
 ,Mujeres,De 15 a 44 años,-0.1177017282280338,0.03242728468367018
 ,Mujeres,De 45 a 64 años,0.45936449770528537,0.8848030113700873
 ,Mujeres,De 65 y más años,0.30905443723084136,0.4522632981514763
 ,Hombres,Menores de 15 años,0.07276584780569328,0.2060062816422232
 ,Hombres,De 15 a 44 años,-0.08565759639201437,0.12093843897628495
 ,Hombres,De 45 a 64 años,0.7162536458190325,0.9223691575502724
Bog.,Hombres,De 65 y más años,0.5918095773462718,0.5054404331299241
 ,Mujeres,Menores de 15 años,0.6482293657090247,0.7478481380027695
 ,Mujeres,De 15 a 44 años,-0.29228143508965565,-0.18969110895109814
 ,Mujeres,De 45 a 64 años,0.19574900689242758,0.47817814431643046
 ,Mujeres,De 65 y más años,0.21151435318670253,0.21930267708577997
 ,Hombres,Menores de 15 años,-0.1700767289764019,0.021959212402867297
 ,Hombres,De 15 a 44 años,0.2748910087879982,0.42283845685642585
 ,Hombres,De 45 a 64 años,0.6262804722541608,0.6775794385585603
Bol.,Hombres,De 65 y más años,0.3373054815925988,0.2322371151790102
 ,Mujeres,Menores de 15 años,0.2440509109034396,0.5525697077019326
 ,Mujeres,De 15 a 44 años,-0.11654337910420229,-0.03285905897415743
 ,Mujeres,De 45 a 64 años,0.7181895559012131,0.81045306460803
Bol.,Mujeres,De 65 y más años,0.5671609757813552,0.5356961548509993
 ,Hombres,Menores de 15 años,-0.2330205884144251,-0.20837478543197682
 ,Hombres,De 15 a 44 años,0.49248382209291375,0.9586206354538757
 ,Hombres,De 45 a 64 años,0.6655911765507051,1.036906035193597
 ,Hombres,De 65 y más años,0.12371788319240185,0.18722177648034022
 ,Mujeres,Menores de 15 años,0.05748049411931631,0.22945912155767015
 ,Mujeres,De 15 a 44 años,-0.16186564537036935,0.27112921045815264
 ,Mujeres,De 45 a 64 años,0.30436268975964237,0.7316306799167279
 ,Mujeres,De 65 y más años,0.204721955852878,0.2584051149249686
 ,Hombres,Menores de 15 años,-0.04250930274757858,0.4275678333807632
 ,Hombres,De 15 a 44 años,0.6280764656946775,1.2263111200139842
 ,Hombres,De 45 a 64 años,0.5262953864160602,1.0009536597648365
 ,Hombres,De 65 y más años,0.1494464466771951,0.2261746052775584
 ,Mujeres,Menores de 15 años,0.238376945269294,0.5302244769253295
 ,Mujeres,De 15 a 44 años,-0.1843688913812496,0.3008082047907616
 ,Mujeres,De 45 a 64 años,0.22458703526071674,0.5875002525244806
 ,Mujeres,De 65 y más años,0.048501901774568534,0.19555734674232658
 ,Hombres,Menores de 15 años,-0.4219628885959167,-0.4081407728735567
 ,Hombres,De 15 a 44 años,0.2921282276316061,0.42545559600200256
Caq.,Hombres,De 45 a 64 años,1.0727619067138374,0.8970016429800975
